L,BLA,3,247.0,117.0,729.0,528.0
L,BLA,3,358.0,563.0,558.0,155.0
L,BLA,3,439.0,155.0,810.0,461.0
L,BLA,3,362.0,473.0,182.0,569.0
L,BLA,3,842.0,545.0,399.0,397.0
R,BLA,3,309.0,141.0,620.0,507.0
R,GRE,5,202.0,104.0,427.0,440.0
R,GRE,5,284.0,176.0,536.0,440.0
E,CYA,5,282.0,132.0,490.0,486.0
E,CYA,5,772.0,618.0,613.0,191.0
E,WHI,5,264.0,30.0,496.0,381.0
E,WHI,5,668.0,415.0,413.0,101.0
E,WHI,5,255.0,516.0,124.0,289.0
L,BLA,3,708.0,367.0,430.0,674.0
L,BLA,3,1184.0,572.0,712.0,838.0
L,BLA,3,685.0,754.0,736.0,131.0
E,CYA,3,177.0,201.0,292.0,652.0
E,CYA,3,60.0,797.0,567.0,98.0
E,CYA,3,627.0,895.0,497.0,164.0
E,CYA,6,418.0,275.0,553.0,294.0
E,CYA,6,999.0,395.0,1.0,247.0
E,CYA,6,945.0,94.0,787.0,929.0
